エレヴナ組織図,,,,
0.ID,1.Neme,2.Title,3.GroupId,4.ParentID
固有ID,名前,役職,"0.無所属
1.矛
2.盾
3.知識庫
4.イレギュラー",上司のID
0000000,,リーダー,0,
0000001,,側近,0,0000000
1000000,セオフィラス,部隊長,1,0000001
1100000,ライラ兄,副官,1,1000000
1100001,アフティー,ファースト,1,1100000;1000000
1200000,,副官,1,1000000
1300000,,副官,1,1000000
1400000,,副官,1,1000000
1500000,,副官,1,1000000
1110000,,隊長,1,1100000
1120000,,隊長,1,1100000
1130000,チルド,隊長,1,1100000
1210000,,隊長,1,1200000
1220000,,隊長,1,1200000
1111000,メーベル,小隊長,1,1110000
1211000,ジューダス,小隊長,1,1210000
1221000,ヴァンツァー,小隊長,1,1220000
1222000,レティシア,小隊長,1,1220000
1130001,エモナ,,1,1130000
1130002,ブルット,,1,1130000
2000000,ウィルバート,部隊長,2,0000001
2100000,ライラ弟,副官,2,2000000
2200000,,副官,2,2000000
2300000,,副官,2,2000000
2400000,,副官,2,2000000
2500000,,副官,2,2000000
2210000,,隊長,2,2200000
2510000,,隊長,2,2500000
2211000,ルドガー,小隊長,2,2210000
2511000,,支部長,2,2510000
3000000,テネレッツァ,部隊長,3,0000001
3000001,マオウ,部隊長代理,3,3000000
3100000,ヤミ,副官,3,3000001
3200000,ハロルド,副官,3,3000001
3300000,ドーチ,副官,3,3000001
3400000,シオン･エデュカ,副官,3,3000001
3500000,,副官,3,3000001
3110000,イクス,隊長,3,3100000
3210000,ジュード,隊長,3,3200000
3220000,ヴァン,隊長,3,3200000
3230000,ジェイ,隊長,3,3200000
3310000,チュダック,隊長,3,3300000
3320000,フュイール,隊長,3,3300000
3111000,小砂,小隊長,3,3110000
3112000,直枝,小隊長,3,3110000
3221000,アッシュ,小隊長,3,3220000
3222000,ディスト,小隊長,3,3220000
3321000,バンビ,小隊長,3,3320000
3111001,マトイ,,3,3111000
3111002,シエラ,,3,3111000
3321001,ラペツォ,ファースト,3,3321000;3000001;3000000
3321002,ジェロシア,ファースト,3,3321000;3000001;3000000
3321003,アヴィド,ファースト,3,3321000;3000001;3000000
4000000,レイス,部隊長,4,0000001
4000001,ゼロス,スパイ,4,4000000
4100000,フレン,副官,4,4000000
4200000,,副官,4,4000000
4300000,,副官,4,4000000
4400000,,副官,4,4000000
4500000,,副官,4,4000000
4110000,,隊長,4,4100000
4120000,,隊長,4,4100000
4510000,,隊長,4,4500000
4111000,すず,小隊長,4,4110000
4121000,ヘルシャフター,小隊長,4,4120000
4511000,,小隊長,4,4510000
4121001,ジュジェ,ファースト,4,4121000;4000000
4121002,ラズルシャーチ,ファースト,4,4121000;4000000
4121003,キャンベル,ファースト,4,4121000;4000000
4121004,レチッド,ファースト,4,4121000;4000000
4511001,バロール,,4,4511000
4511002,ゲフィオン,,4,4511000
